"Market","Src Gnodeb","Src PCI","SrcssbFreq","SrcBand","Tgt Gnodeb","TgtPCI","TgtssbFreq","TgtBand","Common Anchor","Distance","Extract Date"
"226","2267485","582","653952","n77","2267161","582","653952","n77","true","1.37","2026-02-13"
"226","2267485","583","653952","n77","2267161","583","653952","n77","true","1.37","2026-02-13"
"226","2267411","401","653952","n77","2267191","401","653952","n77","true","1.43","2026-02-13"
"226","2267191","401","653952","n77","2267411","401","653952","n77","true","1.43","2026-02-13"
"226","2267161","582","653952","n77","2267485","582","653952","n77","true","1.37","2026-02-13"
"226","2267161","583","653952","n77","2267485","583","653952","n77","true","1.37","2026-02-13"
"228","2287392","130","390030","n2","2287327","130","390030","","true","0.60","2026-02-13"
"228","2287392","438","648672","n77","2287327","438","648672","","true","0.60","2026-02-13"
"228","2287392","439","648672","n77","2287327","439","648672","","true","0.60","2026-02-13"
"228","2287392","440","648672","n77","2287327","440","648672","","true","0.60","2026-02-13"
"228","2287417","342","390030","n2","2287348","342","390030","n2","true","0.37","2026-02-13"
"228","2287393","65","648672","","2287391","65","648672","n77","true","0.27","2026-02-13"
"228","2287327","440","648672","","2287392","440","648672","n77","true","0.60","2026-02-13"
"228","2287327","130","390030","","2287392","130","390030","n2","true","0.60","2026-02-13"
"228","2287327","438","653952","","2287392","438","653952","n77","true","0.60","2026-02-13"
"228","2287327","439","653952","","2287392","439","653952","n77","true","0.60","2026-02-13"
"228","2287366","314","653952","n77","2287392","314","653952","n77","true","1.43","2026-02-13"
"228","2287391","65","648672","n77","2287393","65","648672","","true","0.27","2026-02-13"
"229","2299786","227","653952","n77","2297555","227","653952","n77","true","1.61","2026-02-13"
"229","2297956","182","653952","n77","2297923","182","653952","n77","true","1.49","2026-02-13"
"229","2297923","182","648672","n77","2297956","182","648672","n77","true","1.49","2026-02-13"
"229","2297555","227","648672","n77","2299786","227","648672","n77","true","1.61","2026-02-13"
"230","2307884","344","648672","GN2","2307882","344","648672","n77","true","1.41","2026-02-13"
"230","2307882","344","653952","n77","2307884","344","653952","GN2","true","1.41","2026-02-13"
